OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID,Year,Month
201,7,2016-08-12,p1012751,1,1250,c362980,2016,8
203,3,2016-08-12,p1097821,1,1000,c056795,2016,8
17,8,2016-08-12,p1072601,1,4600,c211169,2016,8
33,2,2016-08-12,p1005891,1,1950,c280375,2016,8
37,1,2016-08-12,p1072601,1,4600,c037915,2016,8
45,2,2016-08-12,p1005891,1,1950,c256610,2016,8
45,3,2016-08-12,p1072601,1,4600,c256610,2016,8
57,5,2016-08-12,p1175481,2,2600,c275598,2016,8
57,9,2016-08-12,p1005891,1,1950,c275598,2016,8
59,3,2016-08-12,p1072601,1,4600,c234152,2016,8
71,1,2016-08-12,p1175481,1,1300,c226662,2016,8
83,1,2016-08-12,p1175481,2,2600,c048405,2016,8
97,2,2016-08-12,p1097821,1,1000,c366188,2016,8
107,4,2016-08-12,p1097821,1,1000,c111738,2016,8
113,6,2016-08-12,p1005891,1,1950,c259362,2016,8
119,1,2016-08-12,p1072601,1,4600,c067632,2016,8
27,3,2016-08-13,p1012751,1,1000,c083862,2016,8
27,7,2016-08-13,p1072601,2,9200,c083862,2016,8
31,6,2016-08-13,p1005891,1,1950,c276284,2016,8
41,3,2016-08-13,p1175481,1,1300,c173976,2016,8
41,5,2016-08-13,p1012751,1,1250,c173976,2016,8
51,6,2016-08-13,p1005891,1,1950,c167363,2016,8
59,2,2016-08-13,p1175481,1,1300,c043717,2016,8
77,3,2016-08-13,p1005891,2,3900,c191750,2016,8
87,2,2016-08-13,p1072601,1,4600,c125354,2016,8
89,1,2016-08-13,p1175481,1,1300,c343724,2016,8
3,4,2016-08-13,p1175481,1,1300,c115583,2016,8
3,5,2016-08-13,p1097821,1,1000,c115583,2016,8
3,7,2016-08-13,p1005891,1,1950,c115583,2016,8
11,9,2016-08-13,p1175481,1,1300,c109333,2016,8
21,3,2016-08-13,p1175481,1,1300,c076461,2016,8
41,4,2016-08-13,p1175481,1,1300,c145247,2016,8
45,3,2016-08-13,p1005891,1,1950,c366614,2016,8
61,1,2016-08-13,p1072601,1,4600,c091138,2016,8
65,8,2016-08-13,p1175481,1,1300,c368084,2016,8
69,2,2016-08-13,p1005891,1,1950,c314136,2016,8
69,4,2016-08-13,p1175481,2,2600,c314136,2016,8
