date,close,open,high,low,diff
2019년 07월 17일,"1,180.62","1,179.70","1,183.05","1,177.90",0.0008 
2019년 07월 16일,"1,179.63","1,179.83","1,182.26","1,176.20",(0.0007)
2019년 07월 15일,"1,180.41","1,177.68","1,182.82","1,177.33",0.0026 
2019년 07월 12일,"1,177.32","1,175.16","1,180.77","1,174.20",0.0018 
2019년 07월 11일,"1,175.16","1,176.57","1,178.82","1,170.63",(0.0012)
2019년 07월 10일,"1,176.57","1,183.22","1,183.46","1,175.59",(0.0056)
2019년 07월 09일,"1,183.22","1,180.92","1,185.17","1,178.64",0.0019 
2019년 07월 08일,"1,180.94","1,175.48","1,183.02","1,175.00",0.0050 
2019년 07월 05일,"1,175.02","1,167.77","1,175.68","1,167.14",0.0057 
2019년 07월 04일,"1,168.34","1,170.72","1,172.46","1,167.30",(0.0020)
2019년 07월 03일,"1,170.72","1,167.47","1,173.43","1,166.14",0.0028 
2019년 07월 02일,"1,167.47","1,161.77","1,169.23","1,160.74",0.0049 
2019년 07월 01일,"1,161.77","1,156.43","1,165.52","1,149.40",0.0047 
2019년 06월 28일,"1,156.38","1,158.10","1,159.43","1,154.30",(0.0006)
2019년 06월 27일,"1,157.12","1,154.56","1,158.53","1,152.62",0.0021 
2019년 06월 26일,"1,154.67","1,156.17","1,161.05","1,152.40",(0.0013)
2019년 06월 25일,"1,156.17","1,154.67","1,157.64","1,153.00",0.0013 
2019년 06월 24일,"1,154.67","1,159.58","1,162.00","1,154.35",(0.0039)
2019년 06월 21일,"1,159.20","1,159.52","1,165.20","1,157.01",(0.0002)
2019년 06월 20일,"1,159.42","1,172.94","1,174.30","1,156.47",(0.0111)
2019년 06월 19일,"1,172.48","1,174.87","1,179.33","1,171.55",(0.0020)
2019년 06월 18일,"1,174.87","1,186.30","1,188.49","1,173.99",(0.0098)
2019년 06월 17일,"1,186.55","1,186.89","1,188.77","1,185.00",(0.0003)
2019년 06월 14일,"1,186.88","1,182.42","1,187.86","1,181.17",0.0030 
2019년 06월 13일,"1,183.32","1,184.43","1,188.08","1,181.75",(0.0002)
2019년 06월 12일,"1,183.53","1,178.38","1,184.76","1,177.98",0.0037 
2019년 06월 11일,"1,179.21","1,184.02","1,186.60","1,178.50",(0.0041)
