date,close,open,high,low,volume_k,diff
2018-01-05,61.44,61.9,62.04,61.09,563.04,-0.0092
2018-01-04,62.01,61.96,62.21,61.59,654.36,0.0062
2018-01-03,61.63,60.39,61.97,60.28,673.86,0.0209
2018-01-02,60.37,60.2,60.74,60.1,510.31,0.0022
2018-01-01,60.24,60.26,60.28,60.15,0,-0.003
2017-12-29,60.42,59.91,60.51,59.82,464.48,0.0097
2017-12-28,59.84,59.53,59.94,59.44,345.96,0.0034
2017-12-27,59.64,59.79,59.93,59.33,402.4,-0.0055
2017-12-26,59.97,58.4,60.01,58.32,437.79,0.0236
2017-12-25,58.59,58.41,58.62,58.38,0,0.0021
2017-12-22,58.47,58.21,58.5,57.87,324.55,0.0019
2017-12-21,58.36,58.02,58.38,57.63,405.32,0.0046
2017-12-20,58.09,57.66,58.12,57.44,420.84,0.011
2017-12-19,57.46,57.3,57.64,57.16,36.29,0.0052
2017-12-18,57.16,57.37,57.78,56.82,137.15,-0.0024
2017-12-15,57.3,57.15,57.49,56.94,210.05,0.0046
2017-12-14,57.04,56.7,57.22,56.09,580.57,0.0078
2017-12-13,56.6,57.45,57.83,56.55,658.14,-0.0095
2017-12-12,57.14,58.02,58.56,56.85,826.49,-0.0147
2017-12-11,57.99,57.25,58.08,56.91,606.72,0.011
2017-12-08,57.36,56.65,57.79,56.54,681.6,0.0118
2017-12-07,56.69,56,56.78,55.82,557.33,0.013
2017-12-06,55.96,57.45,57.57,55.87,678.99,-0.0288
2017-12-05,57.62,57.48,57.92,57.08,499.25,0.0026
2017-12-04,57.47,58.32,58.34,57.35,529.97,-0.0153
2017-12-01,58.36,57.42,58.88,57.29,685.22,0.0167
2017-11-30,57.4,57.41,57.98,56.82,735.13,0.0017
2017-11-29,57.3,57.73,58.3,56.75,741.56,-0.0119
2017-11-28,57.99,57.86,58.11,57.42,546.53,-0.0021
2017-11-27,58.11,58.95,58.99,57.55,690.08,-0.0142
2017-11-24,58.95,58.05,59.05,57.75,577.83,0.0098
2017-11-23,58.38,57.97,58.58,57.76,0,0.0062
2017-11-22,58.02,57.12,58.15,57.03,837.41,0.0209
2017-11-21,56.83,56.38,57.22,56.32,619.07,0.0132
2017-11-20,56.09,56.69,56.76,55.57,37.7,-0.0081
2017-11-17,56.55,55.25,56.68,55.18,184.94,0.0256
2017-11-16,55.14,55.3,55.62,54.93,213.92,-0.0034
2017-11-15,55.33,55.06,55.56,54.88,501.39,-0.0066
2017-11-14,55.7,56.72,56.77,54.81,707.34,-0.0187
2017-11-13,56.76,56.9,57.15,56.3,631.62,0.0004
2017-11-10,56.74,57.02,57.35,56.55,541.3,-0.0075
2017-11-09,57.17,56.85,57.53,56.69,666.95,0.0063
2017-11-08,56.81,56.96,57.92,56.41,919.15,-0.0068
2017-11-07,57.2,57.27,57.69,56.83,750.19,-0.0026
2017-11-06,57.35,55.97,57.61,55.66,861.71,0.0307
2017-11-03,55.64,54.73,55.76,54.4,614.16,0.0202
2017-11-02,54.54,54.28,54.84,53.99,482.85,0.0044
2017-11-01,54.3,54.65,55.22,53.89,671.04,-0.0015
2017-10-31,54.38,54.08,54.85,53.93,497.3,0.0042
2017-10-30,54.15,54.16,54.46,53.75,565.04,0.0046
2017-10-27,53.9,52.8,54.2,52.25,730.92,0.0239
2017-10-26,52.64,52.19,52.86,51.91,594.65,0.0088
2017-10-25,52.18,52.56,52.57,51.89,681.74,-0.0055
2017-10-24,52.47,51.89,52.62,51.55,709.55,0.011
2017-10-23,51.9,52.07,52.3,51.68,583.56,0.0084
2017-10-20,51.47,51.42,51.73,50.7,32.96,0.0035
2017-10-19,51.29,52.05,52.17,51.07,127.41,-0.0144
2017-10-18,52.04,51.94,52.33,51.69,152.62,0.0031
2017-10-17,51.88,51.93,52.25,51.21,471.61,0.0002
2017-10-16,51.87,51.43,52.37,51.35,520.73,0.0082
2017-10-13,51.45,50.73,51.72,50.7,667.5,0.0168
2017-10-12,50.6,51,51.13,50.15,729.27,-0.0136
2017-10-11,51.3,50.94,51.42,50.61,651.95,0.0075
2017-10-10,50.92,49.55,51.06,49.54,664.84,0.027
2017-10-09,49.58,49.25,49.79,49.13,505.08,0.0059
2017-10-06,49.29,50.75,50.82,49.1,743.11,-0.0295
2017-10-05,50.79,49.88,51.22,49.85,654.39,0.0162
2017-10-04,49.98,50.16,50.67,49.76,598.84,-0.0087
2017-10-03,50.42,50.59,50.73,50.14,462.74,-0.0032
2017-10-02,50.58,51.64,51.71,50.07,600.93,-0.0211
2017-09-29,51.67,51.58,51.77,51.25,551.98,0.0021
2017-09-28,51.56,52.05,52.86,51.22,801.82,-0.0111
2017-09-27,52.14,52.09,52.34,51.63,637.04,0.005
2017-09-26,51.88,52.12,52.43,51.43,709.52,-0.0065
2017-09-25,52.22,50.68,52.28,50.39,701.24,0.0308
2017-09-22,50.66,50.73,50.78,50.29,473.8,0.0022
