CustomerID,RegisterDate,Gender,BirthYear
c367948,2016-01-08,F,1989
c116535,2008-12-09,F,1974
c307671,2014-02-10,F,1974
c302768,2013-12-03,F,1969
c304195,2013-12-22,F,1978
c201616,2011-06-15,F,1968
c132464,2009-07-01,F,1953
c226242,2012-04-10,F,1968
c345760,2015-04-12,F,1972
c205660,2011-08-04,F,1975
c293494,2013-08-19,F,1986
c338489,2015-01-17,M,1965
c058327,2005-03-31,F,1971
c391637,2016-10-24,F,1973
c307908,2014-02-12,F,1988
c326888,2014-09-11,F,1957
c356404,2015-08-14,F,1977
c066141,2005-11-24,F,1976
c056399,2005-01-28,F,1978
c166550,2010-08-09,M,1967
c368106,2016-01-10,F,1980
c189122,2011-03-30,F,1975
c297997,2013-10-09,F,1976
c306915,2014-01-29,F,1975
c082866,2007-01-31,F,1974
c307480,2014-02-07,F,1979
c209787,2011-09-27,F,1974
c362922,2015-11-04,F,1978
c330886,2014-10-22,F,1982
c036238,2003-08-13,F,1976
c335309,2014-12-06,F,1974
c077390,2006-09-04,F,1965
c229107,2012-05-11,F,1969
c017526,2002-07-31,F,1960
c352800,2015-06-28,F,1980
c385783,2016-08-09,F,1983
c106552,2008-06-19,F,1974
c059737,2005-05-06,F,1970
c370258,2016-02-06,F,1976
c225247,2012-03-29,F,1967
c062902,2005-08-09,F,1971
c116550,2008-12-09,F,1974
c291927,2013-07-31,F,1978
c168775,2010-09-08,F,1976
c396728,2017-01-04,F,1977
c039938,2003-11-22,F,1972
c063176,2005-08-20,F,1971
c116443,2008-12-08,F,1973
c263514,2012-11-26,F,1979
c302834,2013-12-03,F,1974
c219745,2012-01-30,F,1988
c255098,2012-09-01,F,1969
c312325,2014-04-02,F,1975
c332761,2014-11-07,F,1975
c203789,2011-07-09,F,1976
c350213,2015-06-01,F,1976
c017554,2002-07-31,M,1964
c045490,2004-04-08,F,1967
c061446,2005-06-15,F,1976
c062610,2005-07-25,F,1975
c067375,2005-12-29,F,1971
c173680,2010-10-30,M,1961
c270012,2013-02-19,F,1974
c293538,2013-08-19,F,1955
c314620,2014-04-25,F,1971
c315613,2014-05-08,F,1982
c292271,2013-08-04,F,1979
c260317,2012-10-23,F,1984
c350918,2015-06-08,F,1968
c112286,2008-10-07,M,1965
c238327,2012-08-10,F,1976
c395638,2016-12-18,F,1985
c104231,2008-05-15,F,1979
c181747,2011-01-26,F,1954
c094744,2007-11-16,F,1975
c189316,2011-04-01,F,1971
c348181,2015-05-07,F,1972
c040668,2003-12-15,M,1959
c093421,2007-10-16,F,1965
c304031,2013-12-19,F,1975
c127646,2009-05-06,F,1978
c385436,2016-08-03,F,1981
c317556,2014-05-24,F,1981
c223940,2012-03-16,F,1970
c118079,2009-01-06,F,1974
c150837,2010-03-08,F,1965
c344634,2015-04-01,F,1968
c363115,2015-11-06,F,1964
c121270,2009-02-23,M,1972
c228036,2012-05-01,F,1977
c234800,2012-07-07,F,1960
c238786,2012-08-16,F,1950
c342721,2015-03-11,F,1981
c165917,2010-07-29,F,1952
c283398,2013-07-04,F,1976
c041765,2004-01-14,F,1966
c057271,2005-03-03,F,1974
c080967,2006-12-04,F,1966
c364899,2015-11-28,F,1969
c372461,2016-03-08,F,1986
c394161,2016-11-25,F,1959
c109333,2008-08-12,F,1968
c395075,2016-12-08,F,1984
c305675,2014-01-11,F,1975
c346490,2015-04-20,F,1979
c055154,2004-12-14,F,1972
c168758,2010-09-07,F,1961
c231689,2012-06-07,F,1981
c323180,2014-07-24,F,1976
c017546,2002-07-31,F,1966
c067927,2006-01-20,F,1960
c071649,2006-05-19,F,1970
c362367,2015-10-28,F,1979
c378210,2016-05-10,F,1986
c103522,2008-05-05,F,1974
c161265,2010-05-27,F,1963
c208697,2011-09-13,F,1962
c221557,2012-02-22,F,1965
c232214,2012-06-13,F,1979
c268228,2013-01-27,F,1978
c310164,2014-03-10,F,1953
c319464,2014-06-13,F,1983
c366892,2015-12-26,F,1952
c221668,2012-02-23,F,1980
c201165,2011-06-10,F,1980
c113932,2008-10-28,F,1972
c222461,2012-03-04,F,1983
c026318,2002-10-05,F,1966
c145247,2009-12-14,F,1974
c152574,2010-03-29,F,1971
c179633,2011-01-05,F,1978
c188938,2011-03-29,F,1967
c367899,2016-01-07,F,1961
c318713,2014-06-05,F,1983
c173180,2010-10-25,M,1986
c322524,2014-07-16,F,1972
c177941,2010-12-17,F,1981
c349924,2015-05-28,F,1969
c109889,2008-08-23,F,1974
c322759,2014-07-19,F,1981
c229358,2012-05-15,F,1953
c336062,2014-12-17,M,1981
c359395,2015-09-16,F,1979
c339128,2015-01-26,F,1980
c095452,2007-12-05,F,1972
c373351,2016-03-17,F,1981
c215674,2011-11-29,F,1974
c343734,2015-03-23,F,1972
c385981,2016-08-11,F,1975
c038272,2003-10-08,F,1952
c394790,2016-12-05,F,1975
c323642,2014-07-30,F,1976
c360039,2015-09-25,F,1977
c150417,2010-03-03,F,1974
c318849,2014-06-07,F,1980
c051732,2004-09-03,F,1966
c350113,2015-05-30,M,1982
c105430,2008-06-02,F,1954
c029643,2003-01-09,F,1969
c261843,2012-11-07,F,1982
c368054,2016-01-09,F,1983
c017735,2002-07-31,F,1960
c396749,2017-01-04,F,1983
c069426,2006-03-17,F,1954
c352999,2015-06-30,F,1962
c054256,2004-11-15,F,1973
c394131,2016-11-24,F,1959
c401584,2017-03-20,F,1979
c255589,2012-09-03,F,1965
c154590,2010-04-15,F,1972
c224309,2012-03-21,F,1961
c305065,2014-01-03,F,1967
c367340,2015-12-31,F,1971
c353056,2015-07-01,F,1979
c292763,2013-08-09,F,1943
c222596,2012-03-05,F,1970
c054232,2004-11-15,F,1977
c305371,2014-01-07,F,1979
c339507,2015-01-30,F,1973
c352730,2015-06-26,F,1971
c064759,2005-10-13,F,1972
c067870,2006-01-18,F,1966
c397552,2017-01-16,F,1980
c038315,2003-10-09,F,1962
c083411,2007-02-14,F,1971
c099519,2008-03-24,F,1969
c343446,2015-03-19,F,1989
c347520,2015-04-29,F,1968
c045953,2004-04-21,F,1973
c088423,2007-05-15,F,1970
c362472,2015-10-29,M,1985
c365956,2015-12-12,F,1961
c380218,2016-06-01,F,1965
c105259,2008-05-30,F,1967
c145535,2009-12-18,F,1970
c152370,2010-03-26,F,1969
c189576,2011-04-04,F,1962
c224249,2012-03-20,F,1980
c259917,2012-10-18,F,1970
c271386,2013-03-07,F,1948
c295047,2013-09-02,F,1976
c298204,2013-10-11,F,1993
c317550,2014-05-24,F,1965
c368342,2016-01-12,F,1982
c360455,2015-10-03,F,1969
c274414,2013-04-08,F,1954
c296737,2013-09-25,F,1970
c123010,2009-03-17,F,1968
c402010,2017-03-25,F,1969
c226725,2012-04-16,F,1973
c237072,2012-07-25,F,1983
c112156,2008-10-06,F,1950
c341885,2015-03-02,F,1987
c167194,2010-08-19,F,1961
c354515,2015-07-19,F,1983
c069521,2006-03-20,F,1962
c280899,2013-06-13,F,1985
c061954,2005-06-30,F,1970
c168924,2010-09-09,F,1962
c174027,2010-11-03,F,1969
c277294,2013-05-13,F,1983
c088526,2007-05-18,F,1971
c325075,2014-08-18,F,1969
c044830,2004-03-22,F,1967
c122804,2009-03-13,F,1972
c051627,2004-08-31,F,1971
c155150,2010-04-21,F,1974
c268624,2013-01-30,F,1959
c281737,2013-06-21,F,1982
c357383,2015-08-26,F,1978
c260848,2012-10-29,M,1974
c206383,2011-08-15,F,1972
c210861,2011-10-06,F,1968
c190115,2011-04-08,F,1975
c372059,2016-03-03,F,1986
c146888,2010-01-11,F,1981
c192172,2011-04-26,F,1974
c344030,2015-03-25,F,1980
c080721,2006-11-27,F,1971
c037554,2003-09-16,M,1970
c084900,2007-03-24,F,1974
c303751,2013-12-16,F,1950
c258787,2012-10-09,F,1980
c352336,2015-06-23,F,1978
c161685,2010-06-02,F,1970
c155294,2010-04-22,F,1968
c225522,2012-04-02,M,1949
c084202,2007-03-08,F,1941
c366106,2015-12-14,F,1981
c104840,2008-05-24,M,1961
c142261,2009-11-05,F,1970
c294145,2013-08-25,F,1975
c025177,2002-08-27,F,1981
c076462,2006-08-02,M,1958
c297466,2013-10-02,F,1978
