Date,ProductID,Grade,KG,ProductName,Price
20190116,22500,3,5,토마토,6786
20190116,23100,0,20,무,8340
20190116,23100,1,20,무,7082
20190116,23100,2,20,무,5984
20190116,23100,3,20,무,4230
20190116,23200,1,20,당근,27634
20190116,23200,2,20,당근,25506
20190116,23200,3,20,당근,19616
20190116,24400,0,1,양파,770
20190116,24400,0,12,양파,8804
20190116,24400,0,15,양파,11461
20190116,24400,0,20,양파,15137
20190116,24400,1,1,양파,556
20190116,24400,1,12,양파,5231
20190116,24400,1,15,양파,9128
20190116,24400,1,20,양파,10406
20190116,24400,2,1,양파,360
20190116,24400,2,12,양파,3700
20190116,24400,2,15,양파,6979
20190116,24400,2,20,양파,6177
20190116,24400,3,1,양파,226
20190116,24400,3,12,양파,2582
20190116,24400,3,15,양파,3888
20190116,24400,3,20,양파,5275
20190117,15100,0,10,고구마,37106
20190117,15100,1,10,고구마,28050
20190117,15100,2,10,고구마,21470
20190117,15100,3,10,고구마,10983
20190117,22500,0,10,토마토,26613
20190117,22500,0,5,토마토,16321
20190117,22500,1,10,토마토,20215
20190117,22500,1,5,토마토,14193
20190117,22500,2,10,토마토,19374
20190117,22500,2,5,토마토,11423
20190117,22500,3,10,토마토,18302
20190117,22500,3,5,토마토,8747
20190117,23100,0,20,무,8345
20190117,23100,1,20,무,6988
20190117,23100,2,20,무,5948
20190117,23100,3,20,무,3366
20190117,23200,1,20,당근,24592
20190117,23200,2,20,당근,21912
20190117,23200,3,20,당근,17463
20190117,24400,0,1,양파,759
20190117,24400,0,12,양파,8840
20190117,24400,0,15,양파,11265
20190117,24400,0,20,양파,14613
20190117,24400,1,1,양파,560
20190117,24400,1,12,양파,4982
20190117,24400,1,15,양파,9218
20190117,24400,1,20,양파,11091
20190117,24400,2,1,양파,367
20190117,24400,2,12,양파,3540
20190117,24400,2,15,양파,7349
20190117,24400,2,20,양파,9251
20190117,24400,3,1,양파,207
20190117,24400,3,12,양파,2176
20190117,24400,3,15,양파,4410
20190117,24400,3,20,양파,5708
20190118,15100,0,10,고구마,48502
20190118,15100,1,10,고구마,34015
20190118,15100,2,10,고구마,23544
20190118,15100,3,10,고구마,12195
20190118,22500,0,10,토마토,28281
20190118,22500,0,5,토마토,17056
20190118,22500,1,10,토마토,20203
20190118,22500,1,5,토마토,15664
20190118,22500,2,10,토마토,13313
20190118,22500,2,5,토마토,13220
20190118,22500,3,10,토마토,6969
20190118,22500,3,5,토마토,8027
20190118,23100,0,20,무,8127
20190118,23100,1,20,무,6985
20190118,23100,2,20,무,5894
20190118,23100,3,20,무,3584
20190118,23200,1,20,당근,23120
20190118,23200,2,20,당근,20669
20190118,23200,3,20,당근,16741
20190118,24400,0,1,양파,772
20190118,24400,0,12,양파,9002
20190118,24400,0,15,양파,11541
20190118,24400,0,20,양파,13800
20190118,24400,1,1,양파,562
20190118,24400,1,12,양파,5105
20190118,24400,1,15,양파,9330
20190118,24400,1,20,양파,10783
20190118,24400,2,1,양파,376
20190118,24400,2,12,양파,3639
20190118,24400,2,15,양파,7216
20190118,24400,2,20,양파,8621
20190118,24400,3,1,양파,228
20190118,24400,3,12,양파,2390
20190118,24400,3,15,양파,5227
20190118,24400,3,20,양파,4616
20190119,15100,0,10,고구마,48691
20190119,15100,1,10,고구마,30434
20190119,15100,2,10,고구마,22030
20190119,15100,3,10,고구마,11091
20190119,22500,0,10,토마토,31757
20190119,22500,0,5,토마토,15854
20190119,22500,1,10,토마토,20595
20190119,22500,1,5,토마토,14179
20190119,22500,2,10,토마토,15355
20190119,22500,2,5,토마토,12205
20190119,22500,3,10,토마토,12714
20190119,22500,3,5,토마토,8384
20190119,23100,0,20,무,8306
20190119,23100,1,20,무,7124
20190119,23100,2,20,무,6258
20190119,23100,3,20,무,4491
20190119,23200,1,20,당근,22308
20190119,23200,2,20,당근,20901
20190119,23200,3,20,당근,16965
20190119,24400,0,1,양파,768
20190119,24400,0,12,양파,9328
20190119,24400,0,15,양파,11085
20190119,24400,0,20,양파,13800
20190119,24400,1,1,양파,566
20190119,24400,1,12,양파,5251
20190119,24400,1,15,양파,9198
20190119,24400,1,20,양파,10783
20190119,24400,2,1,양파,385
20190119,24400,2,12,양파,3758
20190119,24400,2,15,양파,7291
20190119,24400,2,20,양파,8621
20190119,24400,3,1,양파,238
20190119,24400,3,12,양파,2484
20190119,24400,3,15,양파,5062
20190119,24400,3,20,양파,4616
20190121,15100,0,10,고구마,50073
20190121,15100,1,10,고구마,35866
20190121,15100,2,10,고구마,25274
20190121,15100,3,10,고구마,12585
20190121,22500,0,10,토마토,29540
20190121,22500,0,5,토마토,15649
20190121,22500,1,10,토마토,22482
20190121,22500,1,5,토마토,14405
20190121,22500,2,10,토마토,17402
20190121,22500,2,5,토마토,12672
20190121,22500,3,10,토마토,9846
20190121,22500,3,5,토마토,8705
20190121,23100,0,20,무,8306
20190121,23100,1,20,무,7094
20190121,23100,2,20,무,5931
20190121,23100,3,20,무,2661
20190121,23200,1,20,당근,23029
20190121,23200,2,20,당근,20709
20190121,23200,3,20,당근,16285
20190121,24400,0,1,양파,807
20190121,24400,0,12,양파,9932
20190121,24400,0,15,양파,11122
20190121,24400,0,20,양파,15000
20190121,24400,1,1,양파,564
20190121,24400,1,12,양파,5239
20190121,24400,1,15,양파,9202
20190121,24400,1,20,양파,14090
20190121,24400,2,1,양파,379
20190121,24400,2,12,양파,3934
20190121,24400,2,15,양파,7053
20190121,24400,2,20,양파,10547
20190121,24400,3,1,양파,236
20190121,24400,3,12,양파,2641
20190121,24400,3,15,양파,4378
20190121,24400,3,20,양파,5558
20190122,15100,0,10,고구마,40395
20190122,15100,1,10,고구마,29982
20190122,15100,2,10,고구마,21282
20190122,15100,3,10,고구마,10247
20190122,22500,0,10,토마토,30000
20190122,22500,0,5,토마토,14660
20190122,22500,1,10,토마토,27412
20190122,22500,1,5,토마토,13401
20190122,22500,2,10,토마토,20733
